特征变量,统计描述方法,统计检验方法,CNS组 (n=7),Non-CNS组 (n=260),P值,OR (95% CI)
地理分布 (Country),n (%),卡方检验,-,-,0.0141,-
  - China,n (%),-,5 (71.4%),118 (45.4%),,-
  - France,n (%),-,1 (14.3%),114 (43.8%),,-
  - Hungary,n (%),-,0 (0.0%),3 (1.2%),,-
  - Russia,n (%),-,0 (0.0%),2 (0.8%),,-
  - Singapore,n (%),-,0 (0.0%),2 (0.8%),,-
  - Singpore,n (%),-,0 (0.0%),1 (0.4%),,-
  - South Korea,n (%),-,0 (0.0%),1 (0.4%),,-
  - Taiwan,n (%),-,0 (0.0%),15 (5.8%),,-
  - Thailand,n (%),-,0 (0.0%),3 (1.2%),,-
  - USA,n (%),-,1 (14.3%),1 (0.4%),,-
采集年份,Median (IQR),Mann-Whitney U,2013 (2012-2016),2014 (2010-2019),0.838,-
P2124_Z1 (疏水性),Median (IQR),Mann-Whitney U,2.88 (2.51-3.64),0.92 (-2.49-2.18),9.45E-04,4.28 (1.47-12.51)
P1246_Z3 (极性/电荷),Median (IQR),Mann-Whitney U,-1.29 (-3.29--1.21),0.00 (-1.14-0.57),1.61E-03,0.50 (0.30-0.83)
P997_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.13 (0.88-1.72),0.53 (-2.09-0.88),1.73E-03,2.84 (1.30-6.20)
P1711_Z1 (疏水性),Median (IQR),Mann-Whitney U,-4.19 (-4.19--2.71),0.07 (-1.22-1.96),1.82E-03,0.53 (0.33-0.86)
P1743_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.45 (0.27-1.88),-1.03 (-1.63-0.00),1.89E-03,2.26 (1.30-3.93)
P2061_Z1 (疏水性),Median (IQR),Mann-Whitney U,2.23 (2.07-3.03),0.07 (-1.22-2.18),2.08E-03,3.15 (1.24-8.00)
P1411_Z1 (疏水性),Median (IQR),Mann-Whitney U,-2.69 (-4.19--0.57),0.71 (0.07-1.96),2.10E-03,0.59 (0.41-0.83)
P1319_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.13 (0.05-2.42),-1.03 (-1.68--1.03),2.16E-03,1.99 (1.26-3.13)
P1093_Z1 (疏水性),Median (IQR),Mann-Whitney U,2.23 (2.21-2.55),0.07 (0.07-2.18),2.28E-03,2.97 (1.15-7.66)
P611_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.45 (0.46-1.98),0.39 (-2.53-0.39),2.37E-03,2.37 (1.20-4.70)
P282_Z3 (极性/电荷),Median (IQR),Mann-Whitney U,0.57 (-0.34-1.60),-1.03 (-3.14--0.98),2.43E-03,1.94 (1.21-3.12)
P377_Z1 (疏水性),Median (IQR),Mann-Whitney U,2.88 (2.51-3.15),0.92 (-2.69-2.18),2.62E-03,4.42 (1.06-18.44)
P2298_Z1 (疏水性),Median (IQR),Mann-Whitney U,3.08 (1.11-3.64),0.00 (-4.19-0.92),2.70E-03,1.72 (1.12-2.64)
P354_Z1 (疏水性),Median (IQR),Mann-Whitney U,-2.69 (-3.72--0.57),0.07 (0.07-2.23),2.81E-03,0.64 (0.47-0.86)
P398_Z1 (疏水性),Median (IQR),Mann-Whitney U,-1.39 (-4.68--1.22),1.96 (-1.22-2.84),3.02E-03,0.67 (0.49-0.91)
P1406_Z1 (疏水性),Median (IQR),Mann-Whitney U,2.84 (2.18-3.22),0.00 (-4.19-2.18),3.24E-03,2.14 (1.06-4.33)
P565_Z3 (极性/电荷),Median (IQR),Mann-Whitney U,-1.40 (-2.42--1.14),0.09 (-0.98-0.30),3.28E-03,0.51 (0.30-0.86)
P2337_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.13 (0.56-1.35),0.00 (-1.73-0.53),3.80E-03,2.51 (1.30-4.85)
P1626_Z3 (极性/电荷),Median (IQR),Mann-Whitney U,-1.40 (-3.14--1.27),0.00 (-1.40-0.30),3.99E-03,0.38 (0.21-0.72)
P394_Z1 (疏水性),Median (IQR),Mann-Whitney U,-2.69 (-4.75--2.59),2.23 (-2.69-2.23),4.07E-03,0.54 (0.33-0.88)
P1180_Z3 (极性/电荷),Median (IQR),Mann-Whitney U,0.09 (-0.48-1.11),-0.98 (-1.40-0.01),4.14E-03,2.67 (1.33-5.35)
P1056_Z3 (极性/电荷),Median (IQR),Mann-Whitney U,-1.29 (-3.14--1.21),0.01 (-1.29-0.57),4.24E-03,0.41 (0.22-0.74)
P1506_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.13 (0.00-1.27),-0.97 (-1.73-0.00),4.35E-03,2.83 (1.32-6.10)
P780_Z1 (疏水性),Median (IQR),Mann-Whitney U,2.41 (2.29-3.03),0.92 (-1.22-2.41),4.35E-03,2.74 (1.10-6.80)
P1218_Z2 (分子量/体积),Median (IQR),Mann-Whitney U,1.13 (-1.00-1.29),-1.03 (-2.09--0.97),4.42E-03,1.67 (1.11-2.51)
