Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PX260179,Enterovirus A71,Enterovirus alphacoxsackie,,R13223-IND-02,7399,partial,India,Homo sapiens,,"Kumar,A., Shete,A., Varose,S.Y., Jadhav,S., Yadav,S., Khurana,J., Gupta,N., Yadav,P.D., Cherian,S., Mohanty,M.C.",2001,2025-12-16,ssRNA(+)
PX260180,Enterovirus A71,Enterovirus alphacoxsackie,,V11-2209-1,7400,partial,India,Homo sapiens,,"Kumar,A., Shete,A., Varose,S.Y., Jadhav,S., Yadav,S., Khurana,J., Gupta,N., Yadav,P.D., Cherian,S., Mohanty,M.C.",2011,2025-12-16,ssRNA(+)
PV684174,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV70/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-05-15,2025-12-05,ssRNA(+)
PV684175,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV96/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-04-30,2025-12-05,ssRNA(+)
PV684176,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV94/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-05-02,2025-12-05,ssRNA(+)
PV684177,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV88/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-04-29,2025-12-05,ssRNA(+)
PV684178,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV130/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-05-30,2025-12-05,ssRNA(+)
PV684179,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV129/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-06-01,2025-12-05,ssRNA(+)
PV684180,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV110/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-06-05,2025-12-05,ssRNA(+)
PV684181,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV583/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-07-09,2025-12-05,ssRNA(+)
